File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF668SIT	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF173WQR, ENCFF419RSJ	486179	ENCODE Processing Pipeline	e13e028083fd5b852426a547d77911d4		https://www.encodeproject.org/files/ENCFF668SIT/@@download/ENCFF668SIT.bed.gz	GRCh38			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking	mismatched status		
ENCFF230HWI	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR925GDS	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF001TDO, ENCFF246HSO	285101	ENCODE Processing Pipeline	d81233d03fbdee0425933ede6e8ca42b		https://www.encodeproject.org/files/ENCFF230HWI/@@download/ENCFF230HWI.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking	mismatched status		
ENCFF246HSO	bed narrowPeak	peaks	ENCSR925GDS	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF034SMD, ENCFF106RXX	6662756	ENCODE Processing Pipeline	75914ddd368c4257b7d42101e337ff94		https://www.encodeproject.org/files/ENCFF246HSO/@@download/ENCFF246HSO.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking	mismatched status		
ENCFF637OOY	bed narrowPeak	peaks	ENCSR925GDS	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF278DTC, ENCFF467EPK	6665880	ENCODE Processing Pipeline	14e0d31426bf6097a380272c8d330cc2		https://www.encodeproject.org/files/ENCFF637OOY/@@download/ENCFF637OOY.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking	mismatched status		
ENCFF615AFS	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR925GDS	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-08	ENCODE				1							ENCFF419RSJ, ENCFF637OOY	285010	ENCODE Processing Pipeline	b67aa9433ef56b2dd8c8a4ad359b1b35		https://www.encodeproject.org/files/ENCFF615AFS/@@download/ENCFF615AFS.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking	mismatched status		
ENCFF619FOL	bed narrowPeak	peaks	ENCSR610EFT	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	51 year	Homo sapiens					POLR2A-human	ENCAB871WRG	DNA					False	2016-11-07	ENCODE				1							ENCFF098GAO, ENCFF607WQU	6456176	ENCODE Processing Pipeline	2727dbf5626e8bf92658b67d099ad106		https://www.encodeproject.org/files/ENCFF619FOL/@@download/ENCFF619FOL.bed.gz	GRCh38			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF306CZZ	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR610EFT	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	51 year	Homo sapiens					POLR2A-human	ENCAB871WRG	DNA					False	2016-11-07	ENCODE				1							ENCFF419RSJ, ENCFF619FOL	593909	ENCODE Processing Pipeline	69922e561df843b6e2df243ac75b5b24		https://www.encodeproject.org/files/ENCFF306CZZ/@@download/ENCFF306CZZ.bed.gz	GRCh38			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF994CVU	bed narrowPeak	peaks	ENCSR610EFT	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	51 year	Homo sapiens					POLR2A-human	ENCAB871WRG	DNA					False	2016-11-07	ENCODE				1							ENCFF273NSF, ENCFF639BGL	6399026	ENCODE Processing Pipeline	0277f84646fa4c41222a7e429b22a416		https://www.encodeproject.org/files/ENCFF994CVU/@@download/ENCFF994CVU.bed.gz	hg19			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF760CPU	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR610EFT	ChIP-seq	UBERON:0001150	body of pancreas	tissue	adult	female	51 year	Homo sapiens					POLR2A-human	ENCAB871WRG	DNA					False	2016-11-07	ENCODE				1							ENCFF001TDO, ENCFF994CVU	578188	ENCODE Processing Pipeline	0203b1135d25c5fea2b3b67528cbea14		https://www.encodeproject.org/files/ENCFF760CPU/@@download/ENCFF760CPU.bed.gz	hg19			released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking			
ENCFF001XQD	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1							ENCFF001HKJ	597913	John Stamatoyannopoulos, UW	30fb1e326e7a3565ea5b075187d289a5		https://www.encodeproject.org/files/ENCFF001XQD/@@download/ENCFF001XQD.bed.gz	hg19			archived	mild to moderate bottlenecking, low read depth, low read length			
ENCFF001XQE	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				2							ENCFF001HKP	800970	John Stamatoyannopoulos, UW	d3a793e194cd93b043a032662f5878b1		https://www.encodeproject.org/files/ENCFF001XQE/@@download/ENCFF001XQE.bed.gz	hg19			archived	mild to moderate bottlenecking, low read depth, low read length			
ENCFF002DCR	bed narrowPeak	optimal idr thresholded peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1, 2							ENCFF001HKJ, ENCFF001HKP	1008976	ENCODE Consortium Analysis Working Group	a940b25f9df0e1d4537b3d03d4b2859f		https://www.encodeproject.org/files/ENCFF002DCR/@@download/ENCFF002DCR.bed.gz	hg19			archived	mild to moderate bottlenecking, low read depth, low read length			
ENCFF356GCX	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				2							ENCFF396STC, ENCFF757OWU	4547474	ENCODE Processing Pipeline	987d9a3385926d29c19ed14f9a724b98		https://www.encodeproject.org/files/ENCFF356GCX/@@download/ENCFF356GCX.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF530JSJ	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1							ENCFF535MRQ, ENCFF757OWU	4511337	ENCODE Processing Pipeline	9056ea6a0cf1702eb6edfc797773c65a		https://www.encodeproject.org/files/ENCFF530JSJ/@@download/ENCFF530JSJ.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF306OJZ	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1, 2							ENCFF396STC, ENCFF535MRQ, ENCFF757OWU	5004794	ENCODE Processing Pipeline	a74d97679a3503a1677fd6fac0c95fbc		https://www.encodeproject.org/files/ENCFF306OJZ/@@download/ENCFF306OJZ.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF700UZN	bed narrowPeak	conservative idr thresholded peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1, 2							ENCFF306OJZ, ENCFF356GCX, ENCFF419RSJ, ENCFF530JSJ	759875	ENCODE Processing Pipeline	cc9a364f6e494456490626c7dcfd267e		https://www.encodeproject.org/files/ENCFF700UZN/@@download/ENCFF700UZN.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF301YXM	bed narrowPeak	optimal idr thresholded peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1, 2							ENCFF306OJZ, ENCFF356GCX, ENCFF419RSJ, ENCFF530JSJ	798011	ENCODE Processing Pipeline	1ec9842f1d3e9d37792d153852e427d5		https://www.encodeproject.org/files/ENCFF301YXM/@@download/ENCFF301YXM.bed.gz	GRCh38			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF574BPV	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1							ENCFF234EAH, ENCFF599WUT	4513051	ENCODE Processing Pipeline	b1ba56e9d74ea6d4137505e05b3e4f0f		https://www.encodeproject.org/files/ENCFF574BPV/@@download/ENCFF574BPV.bed.gz	hg19			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF504WUQ	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1, 2							ENCFF234EAH, ENCFF599WUT, ENCFF650OIZ	4912104	ENCODE Processing Pipeline	72fb39c2da7b62e6290a3e70f6729266		https://www.encodeproject.org/files/ENCFF504WUQ/@@download/ENCFF504WUQ.bed.gz	hg19			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF386NQE	bed narrowPeak	conservative idr thresholded peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1, 2							ENCFF001TDO, ENCFF504WUQ, ENCFF574BPV, ENCFF883SBZ	735367	ENCODE Processing Pipeline	68f766ae983769f6b9e449faeb86d343		https://www.encodeproject.org/files/ENCFF386NQE/@@download/ENCFF386NQE.bed.gz	hg19			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF266GGD	bed narrowPeak	optimal idr thresholded peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1, 2							ENCFF001TDO, ENCFF504WUQ, ENCFF574BPV, ENCFF883SBZ	763849	ENCODE Processing Pipeline	0676fa28175caf0322d3a91f2a8ff9f1		https://www.encodeproject.org/files/ENCFF266GGD/@@download/ENCFF266GGD.bed.gz	hg19			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF883SBZ	bed narrowPeak	peaks	ENCSR000DTI	ChIP-seq	CL:0000746	cardiac muscle cell	primary cell	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				2							ENCFF234EAH, ENCFF650OIZ	4460441	ENCODE Processing Pipeline	dc4d73cbe139008389921ec6d1eb8947		https://www.encodeproject.org/files/ENCFF883SBZ/@@download/ENCFF883SBZ.bed.gz	hg19			released	mild to moderate bottlenecking, low read depth, low read length			
ENCFF784LSG	bed narrowPeak	peaks	ENCSR573WYW	ChIP-seq	UBERON:0000945	stomach	tissue	adult	female	53 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1							ENCFF793GQM	5285515	ENCODE Processing Pipeline	58c69de03f703911fb9e04ef6aa411da		https://www.encodeproject.org/files/ENCFF784LSG/@@download/ENCFF784LSG.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF856BRS	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR573WYW	ChIP-seq	UBERON:0000945	stomach	tissue	adult	female	53 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1							ENCFF419RSJ, ENCFF784LSG	798	ENCODE Processing Pipeline	bcb57db60365fcae2a584a9af7af3556		https://www.encodeproject.org/files/ENCFF856BRS/@@download/ENCFF856BRS.bed.gz	GRCh38			released	antibody characterized with exemption			
