File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF951DOZ	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF351ETM, ENCFF967OQF	1332163	ENCODE Processing Pipeline	056160b1065032234b8eea7a84a908e0		https://www.encodeproject.org/files/ENCFF951DOZ/@@download/ENCFF951DOZ.bed.gz	GRCh38			released	low read depth			
ENCFF704JIN	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF390DNP, ENCFF643GBS	1330347	ENCODE Processing Pipeline	0c34255a20f77748297a629c2a093ada		https://www.encodeproject.org/files/ENCFF704JIN/@@download/ENCFF704JIN.bed.gz	hg19			released	low read depth			
ENCFF737DPY	bed narrowPeak	peaks	ENCSR000ENE	DNase-seq	CL:2000044	brain microvascular endothelial cell	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF390DNP, ENCFF962RER	1103433	ENCODE Processing Pipeline	1a29a91301d910df60c29d0bcfe3582f		https://www.encodeproject.org/files/ENCFF737DPY/@@download/ENCFF737DPY.bed.gz	hg19			released	low read depth			
ENCFF001SQY	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1, 2							ENCFF001BGJ, ENCFF001DEA, ENCFF001DEE	1394627	John Stamatoyannopoulos, UW	76dbece5b19a1da96fc4d4904a5c18ac		https://www.encodeproject.org/files/ENCFF001SQY/@@download/ENCFF001SQY.bed.gz	hg19			archived	low read depth	sequencing runs labeled as technical replicates		
ENCFF001WAA	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1, 2							ENCFF001BGJ	2943139	John Stamatoyannopoulos, UW	5de341e9b2a1e78c9607758cf3d8602f		https://www.encodeproject.org/files/ENCFF001WAA/@@download/ENCFF001WAA.bed.gz	hg19			archived	low read depth	sequencing runs labeled as technical replicates		
ENCFF001WJI	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF001DEE	1643947	John Stamatoyannopoulos, UW	0b8ad9c58bb27d9c770779ef4d435eb9		https://www.encodeproject.org/files/ENCFF001WJI/@@download/ENCFF001WJI.bed.gz	hg19			archived	low read depth	sequencing runs labeled as technical replicates		
ENCFF001WJH	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF001DEA	1682752	John Stamatoyannopoulos, UW	3e649fda45eaeef20862f5180fbf8914		https://www.encodeproject.org/files/ENCFF001WJH/@@download/ENCFF001WJH.bed.gz	hg19			archived	low read depth	sequencing runs labeled as technical replicates		
ENCFF318TAF	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF416MCN, ENCFF967OQF	2617251	ENCODE Processing Pipeline	709e40e9ef95f70def9f1b7f4cab7bdb		https://www.encodeproject.org/files/ENCFF318TAF/@@download/ENCFF318TAF.bed.gz	GRCh38			released	low read depth	sequencing runs labeled as technical replicates		
ENCFF792BQE	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF319KPB, ENCFF967OQF	896598	ENCODE Processing Pipeline	8060b84943f5bc07cd8a086115470ffe		https://www.encodeproject.org/files/ENCFF792BQE/@@download/ENCFF792BQE.bed.gz	GRCh38			released	low read depth	sequencing runs labeled as technical replicates		
ENCFF700NCC	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF390DNP, ENCFF418NPG	894005	ENCODE Processing Pipeline	0f5cf04a08a3f5fe9b170b606054ed25		https://www.encodeproject.org/files/ENCFF700NCC/@@download/ENCFF700NCC.bed.gz	hg19			released	low read depth	sequencing runs labeled as technical replicates		
ENCFF920DLC	bed narrowPeak	peaks	ENCSR000ENS	DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF390DNP, ENCFF578KIS	2606148	ENCODE Processing Pipeline	7b1938a535a6fc7dbbfae20128975f5e		https://www.encodeproject.org/files/ENCFF920DLC/@@download/ENCFF920DLC.bed.gz	hg19			released	low read depth	sequencing runs labeled as technical replicates		
ENCFF197ENC	bed narrowPeak	peaks	ENCSR946DXB	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	101 day, 103 day	Homo sapiens							DNA					False	2018-01-29	ENCODE				1							ENCFF042RGX, ENCFF967OQF	2130349	ENCODE Processing Pipeline	d9ab6a90a6196b4854a13cf7251f22ce		https://www.encodeproject.org/files/ENCFF197ENC/@@download/ENCFF197ENC.bed.gz	GRCh38			released	low spot score	experiment not submitted to GEO		
ENCFF177AUZ	bed narrowPeak	peaks	ENCSR946DXB	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	101 day, 103 day	Homo sapiens							DNA					False	2018-01-29	ENCODE				1							ENCFF390DNP, ENCFF496KEC	2128803	ENCODE Processing Pipeline	830673b14458c704e2e7307065791636		https://www.encodeproject.org/files/ENCFF177AUZ/@@download/ENCFF177AUZ.bed.gz	hg19			released	low spot score	experiment not submitted to GEO		
ENCFF519RTR	bed narrowPeak	peaks	ENCSR946DXB	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	101 day, 103 day	Homo sapiens							DNA					False	2018-01-29	ENCODE				2							ENCFF267PSL	3977759	John Stamatoyannopoulos, UW	e4a27be5c907d1ad35cf5bdf92e24c54		https://www.encodeproject.org/files/ENCFF519RTR/@@download/ENCFF519RTR.bed.gz	hg19			archived	low spot score	experiment not submitted to GEO		
ENCFF616MAA	bed narrowPeak	peaks	ENCSR946DXB	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	101 day, 103 day	Homo sapiens							DNA					False	2018-01-29	ENCODE				2							ENCFF120DCL, ENCFF967OQF	1547268	ENCODE Processing Pipeline	97772ecdd5a0eba1b432920de9f27357		https://www.encodeproject.org/files/ENCFF616MAA/@@download/ENCFF616MAA.bed.gz	GRCh38			released	low spot score	experiment not submitted to GEO		
ENCFF315TJF	bed narrowPeak	peaks	ENCSR946DXB	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	101 day, 103 day	Homo sapiens							DNA					False	2018-01-29	ENCODE				2							ENCFF132KVQ, ENCFF163ZHO	1644183	ENCODE Processing Pipeline	2e4bf6851f44250b9c9fec7242d811b0		https://www.encodeproject.org/files/ENCFF315TJF/@@download/ENCFF315TJF.bed.gz	hg19			archived	low spot score	experiment not submitted to GEO		
ENCFF789TZB	bed narrowPeak	peaks	ENCSR946DXB	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	101 day, 103 day	Homo sapiens							DNA					False	2018-01-29	ENCODE				2							ENCFF590GUH, ENCFF992CZQ	1647979	ENCODE Processing Pipeline	923e11b238556205afae3f8e507bdf5d		https://www.encodeproject.org/files/ENCFF789TZB/@@download/ENCFF789TZB.bed.gz	GRCh38			archived	low spot score	experiment not submitted to GEO		
ENCFF345RXP	bed narrowPeak	peaks	ENCSR946DXB	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	101 day, 103 day	Homo sapiens							DNA					False	2018-01-29	ENCODE				2							ENCFF390DNP, ENCFF870CEG	1545767	ENCODE Processing Pipeline	77a5c1f3a503a1e7731ff5aa8e4941a4		https://www.encodeproject.org/files/ENCFF345RXP/@@download/ENCFF345RXP.bed.gz	hg19			released	low spot score	experiment not submitted to GEO		
ENCFF157JLM	bed narrowPeak	peaks	ENCSR164WOF	DNase-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	male	37 year	Homo sapiens							DNA					False	2017-10-01	ENCODE				1							ENCFF283BSF, ENCFF967OQF	3612392	ENCODE Processing Pipeline	d5ebcf3d471de14856afa2166b8461be		https://www.encodeproject.org/files/ENCFF157JLM/@@download/ENCFF157JLM.bed.gz	GRCh38			released		experiment not submitted to GEO		
ENCFF263ZFE	bed narrowPeak	peaks	ENCSR164WOF	DNase-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	male	37 year	Homo sapiens							DNA					False	2017-10-01	ENCODE				1							ENCFF022PJN, ENCFF390DNP	3574144	ENCODE Processing Pipeline	12aece67abba1f8900d53dc3025e67d7		https://www.encodeproject.org/files/ENCFF263ZFE/@@download/ENCFF263ZFE.bed.gz	hg19			released		experiment not submitted to GEO		
ENCFF237GDG	bed narrowPeak	peaks	ENCSR542KIX	DNase-seq	UBERON:0000992	ovary	tissue	adult	female	53 year	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF506ASV, ENCFF967OQF	976803	ENCODE Processing Pipeline	7a43c3e4168093f48cb384a69d329af5		https://www.encodeproject.org/files/ENCFF237GDG/@@download/ENCFF237GDG.bed.gz	GRCh38			released	low spot score	experiment not submitted to GEO		
ENCFF115NGF	bed narrowPeak	peaks	ENCSR542KIX	DNase-seq	UBERON:0000992	ovary	tissue	adult	female	53 year	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF390DNP, ENCFF420ECZ	974044	ENCODE Processing Pipeline	e763d6cf9d6a89a96c6fd77e254d1697		https://www.encodeproject.org/files/ENCFF115NGF/@@download/ENCFF115NGF.bed.gz	hg19			released	low spot score	experiment not submitted to GEO		
ENCFF958UFJ	bed narrowPeak	peaks	ENCSR696TPW	DNase-seq	UBERON:0002046	thyroid gland	tissue	adult	female	53 year	Homo sapiens							DNA					False	2017-10-02	ENCODE				1							ENCFF067LBN, ENCFF967OQF	1830323	ENCODE Processing Pipeline	ec518c0532661fb7a070cd9acc09fae0		https://www.encodeproject.org/files/ENCFF958UFJ/@@download/ENCFF958UFJ.bed.gz	GRCh38			released		experiment not submitted to GEO		
ENCFF835QIK	bed narrowPeak	peaks	ENCSR696TPW	DNase-seq	UBERON:0002046	thyroid gland	tissue	adult	female	53 year	Homo sapiens							DNA					False	2017-10-02	ENCODE				1							ENCFF390DNP, ENCFF942YPH	1815615	ENCODE Processing Pipeline	cde28ca707c0155e8e000014d48f2f4e		https://www.encodeproject.org/files/ENCFF835QIK/@@download/ENCFF835QIK.bed.gz	hg19			released		experiment not submitted to GEO		
ENCFF039XCN	bed narrowPeak	peaks	ENCSR562FNN	DNase-seq	UBERON:0002107	liver	tissue	embryonic	female	101 day, 113 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				2							ENCFF815OAG, ENCFF967OQF	1191378	ENCODE Processing Pipeline	d8126ed9e12c1e869f8e90cb06add778		https://www.encodeproject.org/files/ENCFF039XCN/@@download/ENCFF039XCN.bed.gz	GRCh38			released	low spot score	experiment not submitted to GEO		
ENCFF589IQE	bed narrowPeak	peaks	ENCSR562FNN	DNase-seq	UBERON:0002107	liver	tissue	embryonic	female	101 day, 113 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF191SRN, ENCFF967OQF	2411170	ENCODE Processing Pipeline	998b807ed6ee7b89154661de7b830201		https://www.encodeproject.org/files/ENCFF589IQE/@@download/ENCFF589IQE.bed.gz	GRCh38			released	low spot score	experiment not submitted to GEO		
ENCFF445OCG	bed narrowPeak	peaks	ENCSR562FNN	DNase-seq	UBERON:0002107	liver	tissue	embryonic	female	101 day, 113 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF390DNP, ENCFF621IXI	2387101	ENCODE Processing Pipeline	fbd4ca7b838e36d810ecbbc67bdf43fd		https://www.encodeproject.org/files/ENCFF445OCG/@@download/ENCFF445OCG.bed.gz	hg19			released	low spot score	experiment not submitted to GEO		
ENCFF504YNM	bed narrowPeak	peaks	ENCSR562FNN	DNase-seq	UBERON:0002107	liver	tissue	embryonic	female	101 day, 113 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				2							ENCFF390DNP, ENCFF434AMR	1181731	ENCODE Processing Pipeline	e524f7ac125a7c7d2561ef3f2448b29d		https://www.encodeproject.org/files/ENCFF504YNM/@@download/ENCFF504YNM.bed.gz	hg19			released	low spot score	experiment not submitted to GEO		
ENCFF983AVE	bed narrowPeak	peaks	ENCSR167OVP	DNase-seq	UBERON:0001987	placenta	tissue	embryonic	female	113 day, 116 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF830VDG, ENCFF967OQF	1790096	ENCODE Processing Pipeline	a6c1a313efd422d6a0645906b60828d9		https://www.encodeproject.org/files/ENCFF983AVE/@@download/ENCFF983AVE.bed.gz	GRCh38			released		experiment not submitted to GEO		
ENCFF639EJH	bed narrowPeak	peaks	ENCSR167OVP	DNase-seq	UBERON:0001987	placenta	tissue	embryonic	female	113 day, 116 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				2							ENCFF301CIE, ENCFF967OQF	2785178	ENCODE Processing Pipeline	4a5985f7e8dedbb8630d5a32c2c2253b		https://www.encodeproject.org/files/ENCFF639EJH/@@download/ENCFF639EJH.bed.gz	GRCh38			released		experiment not submitted to GEO		
ENCFF689ZTZ	bed narrowPeak	peaks	ENCSR167OVP	DNase-seq	UBERON:0001987	placenta	tissue	embryonic	female	113 day, 116 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				2							ENCFF282HQD, ENCFF390DNP	2770104	ENCODE Processing Pipeline	3eb6b18d5cbd115cc08dc8e70bf868bf		https://www.encodeproject.org/files/ENCFF689ZTZ/@@download/ENCFF689ZTZ.bed.gz	hg19			released		experiment not submitted to GEO		
ENCFF334SUY	bed narrowPeak	peaks	ENCSR167OVP	DNase-seq	UBERON:0001987	placenta	tissue	embryonic	female	113 day, 116 day	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF390DNP, ENCFF725BVI	1779267	ENCODE Processing Pipeline	7f5322aca1d0f80ea67bca7e84a8a58c		https://www.encodeproject.org/files/ENCFF334SUY/@@download/ENCFF334SUY.bed.gz	hg19			released		experiment not submitted to GEO		
ENCFF001SQK	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1, 2							ENCFF001CWT, ENCFF001CWY	1728946	John Stamatoyannopoulos, UW	d313c9568587d0ca8ca43846c126d457		https://www.encodeproject.org/files/ENCFF001SQK/@@download/ENCFF001SQK.bed.gz	hg19			archived	low read depth			
ENCFF001WGP	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF001CWY	2121698	John Stamatoyannopoulos, UW	99130757ca2523c598bbc79a4c7066d9		https://www.encodeproject.org/files/ENCFF001WGP/@@download/ENCFF001WGP.bed.gz	hg19			archived	low read depth			
ENCFF001WGQ	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF001CWT	1765395	John Stamatoyannopoulos, UW	7a25625efb4bf2f43d71aa7990f1547f		https://www.encodeproject.org/files/ENCFF001WGQ/@@download/ENCFF001WGQ.bed.gz	hg19			archived	low read depth			
ENCFF892TZU	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF163ZHO, ENCFF983OUA	1279420	ENCODE Processing Pipeline	9704f36351e769a4fd8b52f9d2f8b0c2		https://www.encodeproject.org/files/ENCFF892TZU/@@download/ENCFF892TZU.bed.gz	hg19			archived	low read depth			
ENCFF588QXP	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF163ZHO, ENCFF802GYD	941871	ENCODE Processing Pipeline	1e056a3d3613761711f0d2ffefc4fb46		https://www.encodeproject.org/files/ENCFF588QXP/@@download/ENCFF588QXP.bed.gz	hg19			archived	low read depth			
ENCFF702JBC	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF326LSL, ENCFF992CZQ	1284891	ENCODE Processing Pipeline	70f2bc829ac30206e125c908c01a5c02		https://www.encodeproject.org/files/ENCFF702JBC/@@download/ENCFF702JBC.bed.gz	GRCh38			archived	low read depth			
ENCFF901ATC	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF047PTQ, ENCFF992CZQ	943538	ENCODE Processing Pipeline	2018897033a11f82ddb68f643e44459b		https://www.encodeproject.org/files/ENCFF901ATC/@@download/ENCFF901ATC.bed.gz	GRCh38			archived	low read depth			
ENCFF886GXC	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF419YZK, ENCFF967OQF	1336433	ENCODE Processing Pipeline	5500836c4e66f2d0b70c9883a67d98db		https://www.encodeproject.org/files/ENCFF886GXC/@@download/ENCFF886GXC.bed.gz	GRCh38			released	low read depth			
ENCFF938IDZ	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF860MDX, ENCFF967OQF	985124	ENCODE Processing Pipeline	1de1314fb88b8e6a2fe9ce3622e779f4		https://www.encodeproject.org/files/ENCFF938IDZ/@@download/ENCFF938IDZ.bed.gz	GRCh38			released	low read depth			
ENCFF915YFO	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				1							ENCFF390DNP, ENCFF551IDA	1334002	ENCODE Processing Pipeline	b4f10b32dfbf8e9201af2c42c58da000		https://www.encodeproject.org/files/ENCFF915YFO/@@download/ENCFF915YFO.bed.gz	hg19			released	low read depth			
ENCFF347MBD	bed narrowPeak	peaks	ENCSR000ENC	DNase-seq	CL:0002603	astrocyte of the cerebellum	primary cell	unknown	unknown	unknown	Homo sapiens							DNA		see document	see document		False	2011-05-04	ENCODE				2							ENCFF390DNP, ENCFF751ZKO	983224	ENCODE Processing Pipeline	8a171a753a4b3206ae13be4a53700cdf		https://www.encodeproject.org/files/ENCFF347MBD/@@download/ENCFF347MBD.bed.gz	hg19			released	low read depth			
ENCFF147KNW	bed narrowPeak	peaks	ENCSR070CMW	DNase-seq	UBERON:0002084	heart left ventricle	tissue	adult	female	53 year	Homo sapiens							DNA					False	2017-10-01	ENCODE				1							ENCFF037AJZ, ENCFF967OQF	3369190	ENCODE Processing Pipeline	ff7a7b6ea55fac39697b2964faf3a1da		https://www.encodeproject.org/files/ENCFF147KNW/@@download/ENCFF147KNW.bed.gz	GRCh38			released	low spot score	experiment not submitted to GEO		
ENCFF647GWK	bed narrowPeak	peaks	ENCSR070CMW	DNase-seq	UBERON:0002084	heart left ventricle	tissue	adult	female	53 year	Homo sapiens							DNA					False	2017-10-01	ENCODE				1							ENCFF390DNP, ENCFF702IJE	3355043	ENCODE Processing Pipeline	59ad25d3f2caecae6f7bc505a7ec7b21		https://www.encodeproject.org/files/ENCFF647GWK/@@download/ENCFF647GWK.bed.gz	hg19			released	low spot score	experiment not submitted to GEO		
ENCFF001UUS	bed narrowPeak	peaks	ENCSR000EIS	DNase-seq	CL:0002620	skin fibroblast	primary cell	child	male	10 year	Homo sapiens							DNA		see document	see document		False	2012-08-28	ENCODE												2305717	Gregory Crawford, Duke	fcc175fc49bc1b3ae286cb7a4cdc1875		https://www.encodeproject.org/files/ENCFF001UUS/@@download/ENCFF001UUS.bed.gz	hg19			archived		missing derived_from		
ENCFF125CLJ	bed narrowPeak	peaks	ENCSR000EIS	DNase-seq	CL:0002620	skin fibroblast	primary cell	child	male	10 year	Homo sapiens							DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF131CMS, ENCFF967OQF	3736833	ENCODE Processing Pipeline	fc9f8353a2f95301ddcdd165208e76d2		https://www.encodeproject.org/files/ENCFF125CLJ/@@download/ENCFF125CLJ.bed.gz	GRCh38			released				
