File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF637HAC	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										CTCF-human	DNA					False	2016-12-08	ENCODE				1							ENCFF001TDO, ENCFF249NQH	472059	ENCODE Processing Pipeline	7fb333c78f555b43e1243b1d146b7dbe		https://www.encodeproject.org/files/ENCFF637HAC/@@download/ENCFF637HAC.bed.gz	hg19				released	s3://encode-public/2017/08/11/484be56b-095e-4cee-aecb-95ef7b8c732a/ENCFF637HAC.bed.gz	mild to moderate bottlenecking, moderate library complexity, antibody characterized with exemption			
ENCFF173WQR	bed narrowPeak	peaks and background as input for IDR	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										CTCF-human	DNA					False	2016-12-08	ENCODE				1							ENCFF414EUV, ENCFF978YES	6738191	ENCODE Processing Pipeline	6d126050fbac5f3b8ce18211480d4ab2		https://www.encodeproject.org/files/ENCFF173WQR/@@download/ENCFF173WQR.bed.gz	GRCh38				released	s3://encode-public/2017/08/11/45133be8-c0a2-4cba-b305-69f0d78bb7b6/ENCFF173WQR.bed.gz	mild to moderate bottlenecking, moderate library complexity, antibody characterized with exemption			
ENCFF668SIT	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR721AHD	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										CTCF-human	DNA					False	2016-12-08	ENCODE				1							ENCFF173WQR, ENCFF419RSJ	486179	ENCODE Processing Pipeline	e13e028083fd5b852426a547d77911d4		https://www.encodeproject.org/files/ENCFF668SIT/@@download/ENCFF668SIT.bed.gz	GRCh38				released	s3://encode-public/2017/08/11/3ae9ff4e-817e-45d0-92bc-604d201c7455/ENCFF668SIT.bed.gz	mild to moderate bottlenecking, moderate library complexity, antibody characterized with exemption			
ENCFF385FXV	bed narrowPeak	peaks and background as input for IDR	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1							ENCFF075YNC, ENCFF746KIU, ENCFF865NTT	2538198	ENCODE Processing Pipeline	506e5584e0bd676a0e1e18d05eb58156		https://www.encodeproject.org/files/ENCFF385FXV/@@download/ENCFF385FXV.bed.gz	GRCh38				released	s3://encode-public/2016/12/14/8b992d17-a91a-4a3d-b65e-2d1793269c1a/ENCFF385FXV.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF409FXR	bed narrowPeak	peaks and background as input for IDR	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				2							ENCFF075YNC, ENCFF765PTU, ENCFF865NTT	5652730	ENCODE Processing Pipeline	36907687741235c85ca54dd2677db440		https://www.encodeproject.org/files/ENCFF409FXR/@@download/ENCFF409FXR.bed.gz	GRCh38				released	s3://encode-public/2016/12/14/fd5974b3-5cd2-4473-82bc-eba04b31cb03/ENCFF409FXR.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF179QLF	bed narrowPeak	peaks and background as input for IDR	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1, 2							ENCFF075YNC, ENCFF746KIU, ENCFF765PTU, ENCFF865NTT	5687576	ENCODE Processing Pipeline	21d7da3a5b95a910f9cf59d9d69aaf36		https://www.encodeproject.org/files/ENCFF179QLF/@@download/ENCFF179QLF.bed.gz	GRCh38				released	s3://encode-public/2016/12/14/3110cf24-9fa3-41a5-9710-5681eb0d2f4a/ENCFF179QLF.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF873NGI	bed narrowPeak	conservative IDR thresholded peaks	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1, 2							ENCFF179QLF, ENCFF385FXV, ENCFF409FXR, ENCFF419RSJ	682402	ENCODE Processing Pipeline	ee60e560def610cd66baa447e15c5a41		https://www.encodeproject.org/files/ENCFF873NGI/@@download/ENCFF873NGI.bed.gz	GRCh38				released	s3://encode-public/2016/12/14/a9c2be38-a66a-469d-85fd-9b45e12bc76c/ENCFF873NGI.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF300XXC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1, 2							ENCFF179QLF, ENCFF385FXV, ENCFF409FXR, ENCFF419RSJ	694416	ENCODE Processing Pipeline	68d359de96cf841f4543cb9d74d2ef73		https://www.encodeproject.org/files/ENCFF300XXC/@@download/ENCFF300XXC.bed.gz	GRCh38				released	s3://encode-public/2016/12/14/1459e3c3-940e-469d-bc76-ba5a48e45550/ENCFF300XXC.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF446PEN	bed narrowPeak	peaks and background as input for IDR	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1, 2							ENCFF442UIU, ENCFF572RFU, ENCFF730IJS, ENCFF853XVP	5726924	ENCODE Processing Pipeline	186a79d3ab86c69cde946fc66ebb1e51		https://www.encodeproject.org/files/ENCFF446PEN/@@download/ENCFF446PEN.bed.gz	hg19				released	s3://encode-public/2017/04/11/59831fd3-95cc-43a0-8719-6324136deaac/ENCFF446PEN.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF097DFJ	bed narrowPeak	peaks and background as input for IDR	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1							ENCFF572RFU, ENCFF730IJS, ENCFF853XVP	2633014	ENCODE Processing Pipeline	ac010eb0b01e37f4288fdbe332b30fa6		https://www.encodeproject.org/files/ENCFF097DFJ/@@download/ENCFF097DFJ.bed.gz	hg19				released	s3://encode-public/2017/04/11/e8a07a87-b1d8-4a1f-a234-fb4547cfc5cc/ENCFF097DFJ.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF920STO	bed narrowPeak	peaks and background as input for IDR	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				2							ENCFF442UIU, ENCFF572RFU, ENCFF730IJS	5595559	ENCODE Processing Pipeline	aa22a83230d12c3c1501bbe6b932b482		https://www.encodeproject.org/files/ENCFF920STO/@@download/ENCFF920STO.bed.gz	hg19				released	s3://encode-public/2017/04/11/5d7d454c-4055-4f31-85eb-9b29e2c68a5b/ENCFF920STO.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF920JJP	bed narrowPeak	conservative IDR thresholded peaks	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1, 2							ENCFF001TDO, ENCFF097DFJ, ENCFF446PEN, ENCFF920STO	685912	ENCODE Processing Pipeline	7e3354e6f84df1c5835d486de8be7b53		https://www.encodeproject.org/files/ENCFF920JJP/@@download/ENCFF920JJP.bed.gz	hg19				released	s3://encode-public/2017/04/11/4997d178-0f17-4704-bdf2-1ceacbdb58e4/ENCFF920JJP.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF437LHG	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ATN	ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens										CTCF-human	DNA		see document	see document		False	2012-08-06	ENCODE				1, 2							ENCFF001TDO, ENCFF097DFJ, ENCFF446PEN, ENCFF920STO	692739	ENCODE Processing Pipeline	d352e31174798d828b982e6429bbb48e		https://www.encodeproject.org/files/ENCFF437LHG/@@download/ENCFF437LHG.bed.gz	hg19				released	s3://encode-public/2017/04/11/73258d7d-e741-4ed7-86a8-76679735c997/ENCFF437LHG.bed.gz	low read length, mild to moderate bottlenecking, borderline replicate concordance, moderate library complexity, low read depth		insufficient read depth	
ENCFF571KJQ	bed narrowPeak	peaks and background as input for IDR	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1							ENCFF473HRH, ENCFF847NEY	7148874	ENCODE Processing Pipeline	0b1bee6b8255bda8362d44ac6f64c8f3		https://www.encodeproject.org/files/ENCFF571KJQ/@@download/ENCFF571KJQ.bed.gz	hg19				released	s3://encode-public/2017/08/11/9a9cea2a-0c5d-4f90-9dfc-7644f7c25d57/ENCFF571KJQ.bed.gz	antibody characterized with exemption			
ENCFF628TDS	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1							ENCFF001TDO, ENCFF571KJQ	769290	ENCODE Processing Pipeline	cd58607413b78b9adb9cac4287c16c79		https://www.encodeproject.org/files/ENCFF628TDS/@@download/ENCFF628TDS.bed.gz	hg19				released	s3://encode-public/2017/08/11/a6d88bfd-a44d-4c11-9b51-f2b3277377c6/ENCFF628TDS.bed.gz	antibody characterized with exemption			
ENCFF875ZVM	bed narrowPeak	peaks and background as input for IDR	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1							ENCFF260NKL, ENCFF831EFP	7139192	ENCODE Processing Pipeline	df7c713a0569232587603dbc9a8d7a56		https://www.encodeproject.org/files/ENCFF875ZVM/@@download/ENCFF875ZVM.bed.gz	GRCh38				released	s3://encode-public/2017/08/11/9d0b4e15-337a-49ac-95ec-d188cccb1cfd/ENCFF875ZVM.bed.gz	antibody characterized with exemption			
ENCFF872XQU	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1							ENCFF419RSJ, ENCFF875ZVM	769847	ENCODE Processing Pipeline	96a6addb7f97f575dfb29ed32e9e168f		https://www.encodeproject.org/files/ENCFF872XQU/@@download/ENCFF872XQU.bed.gz	GRCh38				released	s3://encode-public/2017/08/11/de92fe5c-6df9-4784-9c6f-663cb69a2202/ENCFF872XQU.bed.gz	antibody characterized with exemption			
ENCFF308HRH	bed narrowPeak	peaks and background as input for IDR	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1							ENCFF758CRV, ENCFF831DYI	6090106	ENCODE Processing Pipeline	28446e586cd63d355ff49b295f5a798e		https://www.encodeproject.org/files/ENCFF308HRH/@@download/ENCFF308HRH.bed.gz	GRCh38				released	s3://encode-public/2017/01/09/d9c04a9b-30ba-49d1-adf3-a4ae3534ef32/ENCFF308HRH.bed.gz		experiment not submitted to GEO		
ENCFF141XWJ	bed narrowPeak	peaks and background as input for IDR	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				2							ENCFF666TEP, ENCFF708QBA	6485688	ENCODE Processing Pipeline	2c1e319f04f876c16053bcd468994eb5		https://www.encodeproject.org/files/ENCFF141XWJ/@@download/ENCFF141XWJ.bed.gz	GRCh38				released	s3://encode-public/2017/01/09/79862cbb-b404-43c8-9d32-902b0c97f7cd/ENCFF141XWJ.bed.gz		experiment not submitted to GEO		
ENCFF913TNP	bed narrowPeak	peaks and background as input for IDR	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF666TEP, ENCFF708QBA, ENCFF758CRV, ENCFF831DYI	6893646	ENCODE Processing Pipeline	935ee651775bdb0bded5fc5c31c0f71d		https://www.encodeproject.org/files/ENCFF913TNP/@@download/ENCFF913TNP.bed.gz	GRCh38				released	s3://encode-public/2017/01/09/397f3b34-17f1-4663-8de6-b2d5d93cca0e/ENCFF913TNP.bed.gz		experiment not submitted to GEO		
ENCFF591QYQ	bed narrowPeak	conservative IDR thresholded peaks	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF141XWJ, ENCFF308HRH, ENCFF419RSJ, ENCFF913TNP	1166639	ENCODE Processing Pipeline	4b3f866fcc8c670abbacfdbf17c171bf		https://www.encodeproject.org/files/ENCFF591QYQ/@@download/ENCFF591QYQ.bed.gz	GRCh38				released	s3://encode-public/2017/01/09/e87dc639-4888-4545-b666-c3b84e86ba4d/ENCFF591QYQ.bed.gz		experiment not submitted to GEO		
ENCFF236RJT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF141XWJ, ENCFF308HRH, ENCFF419RSJ, ENCFF913TNP	1176060	ENCODE Processing Pipeline	2c551612f5d0eaf860565fdd7f6d92e0		https://www.encodeproject.org/files/ENCFF236RJT/@@download/ENCFF236RJT.bed.gz	GRCh38				released	s3://encode-public/2017/01/09/7e147b20-98ed-4950-8db2-b8e1500f9670/ENCFF236RJT.bed.gz		experiment not submitted to GEO		
ENCFF552TWC	bed narrowPeak	conservative IDR thresholded peaks	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF001TDO, ENCFF379YTS, ENCFF673WMU, ENCFF774PLL	1168864	ENCODE Processing Pipeline	9831eccd66f9d2d4c430f0661c2bdaf7		https://www.encodeproject.org/files/ENCFF552TWC/@@download/ENCFF552TWC.bed.gz	hg19				released	s3://encode-public/2017/01/11/694ec2fe-1880-4266-8955-0f972a24c1fa/ENCFF552TWC.bed.gz		experiment not submitted to GEO		
ENCFF673WMU	bed narrowPeak	peaks and background as input for IDR	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF006FDF, ENCFF575WLE, ENCFF666SAQ, ENCFF924UWH	6926616	ENCODE Processing Pipeline	e27fcd8b93d1886c24207e916756b3d9		https://www.encodeproject.org/files/ENCFF673WMU/@@download/ENCFF673WMU.bed.gz	hg19				released	s3://encode-public/2017/01/11/212a12d3-1c21-4439-8af9-9bd0d994eb43/ENCFF673WMU.bed.gz		experiment not submitted to GEO		
ENCFF459YEI	bed narrowPeak	optimal IDR thresholded peaks	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF001TDO, ENCFF379YTS, ENCFF673WMU, ENCFF774PLL	1223933	ENCODE Processing Pipeline	f817005605e7a1474a2e57fdfc3582b4		https://www.encodeproject.org/files/ENCFF459YEI/@@download/ENCFF459YEI.bed.gz	hg19				released	s3://encode-public/2017/01/11/0ccb1899-90ad-4ebb-b20e-f4c3c6b3d422/ENCFF459YEI.bed.gz		experiment not submitted to GEO		
ENCFF379YTS	bed narrowPeak	peaks and background as input for IDR	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1							ENCFF006FDF, ENCFF666SAQ	6094016	ENCODE Processing Pipeline	93a10bf39290950d81f25a84e4a14d41		https://www.encodeproject.org/files/ENCFF379YTS/@@download/ENCFF379YTS.bed.gz	hg19				released	s3://encode-public/2017/01/11/c333b1bb-3f88-449c-9a6e-dd01f4198532/ENCFF379YTS.bed.gz		experiment not submitted to GEO		
ENCFF774PLL	bed narrowPeak	peaks and background as input for IDR	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				2							ENCFF575WLE, ENCFF924UWH	6422575	ENCODE Processing Pipeline	6e1f6dd270aa7c4968e267c53a1eee3a		https://www.encodeproject.org/files/ENCFF774PLL/@@download/ENCFF774PLL.bed.gz	hg19				released	s3://encode-public/2017/01/11/06b9fda4-1255-4e2c-b2ac-76cca9973d7a/ENCFF774PLL.bed.gz		experiment not submitted to GEO		
ENCFF396ZQL	bed narrowPeak	pseudoreplicated IDR thresholded peaks	ENCSR175BVD	ChIP-seq	UBERON:0004264	lower leg skin	tissue	Homo sapiens										POLR2A-human	DNA					False	2017-03-14	ENCODE				1							ENCFF001TDO, ENCFF035VNM	224299	ENCODE Processing Pipeline	09ba17eca473a102ccdb1c633c5ed906		https://www.encodeproject.org/files/ENCFF396ZQL/@@download/ENCFF396ZQL.bed.gz	hg19				released	s3://encode-public/2017/08/11/5a247c80-544d-4023-a2f2-57086e0311d9/ENCFF396ZQL.bed.gz	mild to moderate bottlenecking, antibody characterized with exemption		poor library complexity, severe bottlenecking	
ENCFF996AFD	bed narrowPeak	peaks and background as input for IDR	ENCSR175BVD	ChIP-seq	UBERON:0004264	lower leg skin	tissue	Homo sapiens										POLR2A-human	DNA					False	2017-03-14	ENCODE				1							ENCFF006EYT, ENCFF248GLG	6917632	ENCODE Processing Pipeline	7ee744300f48cf6c485fff3b2b85703e		https://www.encodeproject.org/files/ENCFF996AFD/@@download/ENCFF996AFD.bed.gz	GRCh38				released	s3://encode-public/2017/08/11/7cd4432d-6058-498e-a1a6-82941627ce4a/ENCFF996AFD.bed.gz	mild to moderate bottlenecking, antibody characterized with exemption		poor library complexity, severe bottlenecking	
ENCFF035VNM	bed narrowPeak	peaks and background as input for IDR	ENCSR175BVD	ChIP-seq	UBERON:0004264	lower leg skin	tissue	Homo sapiens										POLR2A-human	DNA					False	2017-03-14	ENCODE				1							ENCFF352KPP, ENCFF748JDC	6907259	ENCODE Processing Pipeline	a831df4869871b956b876e5c109a6595		https://www.encodeproject.org/files/ENCFF035VNM/@@download/ENCFF035VNM.bed.gz	hg19				released	s3://encode-public/2017/08/11/51a214e9-895b-4d77-bc3e-277d7d5ba1bd/ENCFF035VNM.bed.gz	mild to moderate bottlenecking, antibody characterized with exemption		poor library complexity, severe bottlenecking	
